2018-07-09 16:02:41,898 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - I/O exception (java.net.SocketException) caught when processing request to {s}->https://rt.services.visualstudio.com:443: Socket operation on nonsocket: connect
2018-07-09 16:02:41,902 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - Retrying request to {s}->https://rt.services.visualstudio.com:443
2018-07-09 16:05:58,698 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - I/O exception (java.net.SocketException) caught when processing request to {s}->https://rt.services.visualstudio.com:443: Socket operation on nonsocket: connect
2018-07-09 16:05:58,700 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - Retrying request to {s}->https://rt.services.visualstudio.com:443
ns from ServletContext resource [/WEB-INF/spring-REST-servlet.xml]
2018-07-09 16:02:04,239 - INFO  - [XmlBeanDefinitionReader:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-REST-servlet.xml]
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/exportExcelDGConnApplicantsListSearchingName],methods=[POST],produces=[application/vnd.ms-excel]}" onto public org.springframework.http.ResponseEntity<byte[]> wifi4eu.wifi4eu.web.rest.ApplicationResource.exportExcelDGConnApplicantsListSearchingName(java.lang.Integer,java.lang.String,java.lang.String,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/exportExcelDGConnApplicantsListSearchingName],methods=[POST],produces=[application/vnd.ms-excel]}" onto public org.springframework.http.ResponseEntity<byte[]> wifi4eu.wifi4eu.web.rest.ApplicationResource.exportExcelDGConnApplicantsListSearchingName(java.lang.Integer,java.lang.String,java.lang.String,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/voucherInfo/application/{applicationId}],methods=[GET],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.model.ApplicationVoucherInfoDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.applicationVoucherInfoDTOEndpoint(java.lang.Integer)
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/voucherInfo/application/{applicationId}],methods=[GET],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.model.ApplicationVoucherInfoDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.applicationVoucherInfoDTOEndpoint(java.lang.Integer)
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/sendLegalDocumentsCorrection],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.sendLegalDocumentsCorrection(wifi4eu.wifi4eu.common.dto.model.ApplicationDTO,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/sendLegalDocumentsCorrection],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.sendLegalDocumentsCorrection(wifi4eu.wifi4eu.common.dto.model.ApplicationDTO,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/voucherInfo/call/{callId}],methods=[GET],produces=[application/json]}" onto public java.util.List<wifi4eu.wifi4eu.common.dto.model.ApplicationVoucherInfoDTO> wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicationsVoucherInfoByCall(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/voucherInfo/call/{callId}],methods=[GET],produces=[application/json]}" onto public java.util.List<wifi4eu.wifi4eu.common.dto.model.ApplicationVoucherInfoDTO> wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicationsVoucherInfoByCall(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/invalidate],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.invalidateApplication(wifi4eu.wifi4eu.common.dto.model.ApplicationDTO,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/invalidate],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.invalidateApplication(wifi4eu.wifi4eu.common.dto.model.ApplicationDTO,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest) throws java.io.IOException
